project_index,omniclass_element,mat_group,mat_type,mat_type_podlca,life_cycle_stage,mui_gfa,mui_cfa,bldg_proj_type,bldg_park_type,bldg_cfa,bldg_gfa,bldg_park_gfa,bldg_prim_use,bldg_prim_use_category,bldg_res_units,bldg_stories_above,bldg_stories_below,bldg_height,str_prim_horiz_sys,str_prim_vert_sys,str_lat_sys,str_podium,str_fdn_type,str_sys_summary,gwp_a_to_c,total_eci_gfa_a1_to_a3,total_mui_gfa_a1_to_a3,site_country,site_region,site_state_province,site_clim_zone,bldg_code_year,bldg_energy_code_year,bldg_compl_year,bldg_ibc_type,bldg_sec_use,bldg_occupants,bldg_therm_env_area,bldg_wwr,bldg_rval_walls,bldg_rval_roofs,str_seis_site_cls,str_sdc,str_wind_speed,str_sec_horiz_sys,str_sec_vert_sys,str_grid_long,str_grid_short,lca_assessment_year,lca_design_phase,lca_rsp,lca_software,lca_purp_of_assessment,lca_phys_scope,lca_ec_reductions,lca_ec_reduction_percent,mass_total,stored_carbon_total,ep_a_to_c,ap_a_to_c,sfp_a_to_c,odp_a_to_c,nred_a_to_c,mui_total_gfa,eci_a_to_c_gfa,epi_a_to_c_gfa,api_a_to_c_gfa,sfpi_a_to_c_gfa,odpi_a_to_c_gfa,nredi_a_to_c_gfa,mui_total_cfa,eci_a_to_c_cfa,epi_a_to_c_cfa,api_a_to_c_cfa,sfpi_a_to_c_cfa,odpi_a_to_c_cfa,nredi_a_to_c_cfa,ec_per_occupant_a_to_c,ec_per_res_unit_a_to_c,total_eci_gfa_a1_to_a3_category,mui_gfa_low,mui_gfa_mid,mui_gfa_high
1,Substructure,Concrete,Ready mix NW 4000,"Ready-mixed concrete, USA, National, 4000 psi",A1-A3,232.6921,119.9444,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,19.51846,42.93575,165.8794
1,Substructure,Concrete,Ready mix NW 5000,"Ready-mixed concrete, USA, National, 5000 psi",A1-A3,147.6343,76.10017,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,23.64533,50.29887,130.4666
1,Substructure,Steel,Rebar and reinforcement,"Rebar, fabricated",A1-A3,13.60413,7.012439,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,1.315519,4.702094,18.61986
1,Substructure,Steel,Steel sheet,Cold-formed steel framing,A1-A3,0.598125,0.308312,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,0.598125,0.598125,0.598125
100,Shell - Superstructure,Steel,Cold formed steel framing,Cold-formed steel framing,A1-A3,0.010719,0.010719,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,0.015913,0.049233,0.526367
100,Shell - Superstructure,Steel,Decking,Steel deck,A1-A3,11.16327,11.16327,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,1.08998,8.160104,12.8828
100,Shell - Superstructure,Steel,Hollow structural sections HSS,"HSS, fabricated",A1-A3,2.103663,2.103663,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,1.602456,4.471,12.19334
100,Shell - Superstructure,Steel,Hot-rolled sections,"Hot-rolled sections, fabricated",A1-A3,68.29585,68.29585,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,5.475859,27.61686,64.62088
100,Shell - Superstructure,Steel,Open web joists,Open-web steel joist,A1-A3,0.997264,0.997264,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,3.139642,7.165015,14.3723
100,Shell - Superstructure,Wood and composites,Oriented strand board OSB,Oriented strandboard (OSB),A1-A3,2.810688,2.810688,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,1.909576,3.808657,10.75755
100,Shell - Superstructure,Concrete,Ready mix LW 3000,"Ready-mixed concrete, USA, National, LW 3000 psi",A1-A3,5.543491,5.543491,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,2.28893,11.12484,100.3003
100,Shell - Superstructure,Concrete,Ready mix NW 3000,"Ready-mixed concrete, USA, National, 3000 psi",A1-A3,0.889234,0.889234,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,4.874468,22.88623,131.8679
100,Shell - Superstructure,Concrete,Ready mix NW 4000,"Ready-mixed concrete, USA, National, 4000 psi",A1-A3,354.4591,354.4591,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,22.99497,164.616,664.4757
100,Shell - Superstructure,Concrete,Ready mix NW 5000,"Ready-mixed concrete, USA, National, 5000 psi",A1-A3,106.8992,106.8992,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,16.47024,180.5792,636.8092
100,Shell - Superstructure,Steel,Rebar and reinforcement,"Rebar, fabricated",A1-A3,11.89328,11.89328,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,3.067049,17.31278,47.23898
100,Shell - Superstructure,Steel,Steel - other,"Steel plate, fabricated",A1-A3,0.673888,0.673888,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,0.024588,0.349988,2.229109
100,Substructure,Concrete,Ready mix NW 4000,"Ready-mixed concrete, USA, National, 4000 psi",A1-A3,99.85946,99.85946,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,97.12528,266.0682,579.2285
100,Substructure,Concrete,Ready mix NW 5000,"Ready-mixed concrete, USA, National, 5000 psi",A1-A3,70.07328,70.07328,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,20.70044,100.1953,339.0336
100,Substructure,Steel,Rebar and reinforcement,"Rebar, fabricated",A1-A3,20.60319,20.60319,New Construction,No Parking,24500,24500,,Education,Commercial,,2 to 5,1,15.1-22.5 m,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,Deep foundation < 50' (15m),Steel,19123011,655.4127,932.8719,United States,South Central,,Zone 4A (Mixed Humid),,,,Type I-B,Public Assembly,3201,23413.23,0.36,,,C,A,53.6448,,,12.192,7.62,2023,Completed,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,24581766,205792.4,3610.596,68137.77,912250,2.746314,1.76E+08,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,1003.337,780.5311,0.147371,2.781133,37.23469,0.000112,7185.847,5974.074,,High,2.877095,7.524284,20.74535
